# Format matches Extraction version: V6.5 
# <?xml version="1.0" encoding="UTF-8"?>
# 
# <!-- generated on 2022-07-16 19:07:53 by Eclipse SUMO netconvert Version 1.14.0
# -->
# 
# <configuration xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xsi:noNamespaceSchemaLocation="http://sumo.dlr.de/xsd/netconvertConfiguration.xsd">
# 
#     <input>
#         <sumo-net-file value="resources\gtfs\numerical.net.xml"/>
#     </input>
# 
#     <output>
#         <output-file value="resources\gtfs\bus.net.xml"/>
#         <dlr-navteq-output value="resources\gtfs\bus"/>
#         <dlr-navteq.precision value="0"/>
#         <output.street-names value="true"/>
#         <output.original-names value="true"/>
#     </output>
# 
#     <processing>
#         <numerical-ids value="true"/>
#         <dismiss-vclasses value="true"/>
#         <geometry.min-radius.fix.railways value="false"/>
#         <geometry.avoid-overlap value="false"/>
#         <geometry.max-grade.fix value="false"/>
#         <offset.disable-normalization value="true"/>
#         <lefthand value="false"/>
#     </processing>
# 
#     <edge_removal>
#         <keep-edges.by-type value="highway.living_street,highway.motorway,highway.motorway_link,highway.primary,highway.primary_link,highway.residential,highway.secondary,highway.tertiary,highway.tertiary_link,highway.trunk,highway.trunk_link,highway.unclassified"/>
#     </edge_removal>
# 
#     <junctions>
#         <no-internal-links value="true"/>
#         <no-turnarounds value="true"/>
#         <junctions.corner-detail value="0"/>
#         <junctions.limit-turn-speed value="5.5"/>
#         <rectangular-lane-cut value="false"/>
#     </junctions>
# 
#     <pedestrian>
#         <walkingareas value="false"/>
#     </pedestrian>
# 
#     <report>
#         <aggregate-warnings value="1"/>
#     </report>
# 
# </configuration>
# 
#
#Traffic signal related to LINK_ID and NODE_ID with location relative to driving direction.
#column format like pointcollection.
#DESCRIPTION->LOCATION: 1-rechts von LINK; 2-links von LINK; 3-oberhalb LINK -1-keineAngabe
#RELATREC_ID	POICOL_TYPE	DESCRIPTION	LONGITUDE	LATITUDE	LINK_ID
1078829950	12	LSA;NODEIDS#1123888284#;LOCATION#-1#;	1113183	4606654	1078829950
1078827116	12	LSA;NODEIDS#1123888284#;LOCATION#-1#;	1113183	4606654	1078827116
1078830972	12	LSA;NODEIDS#1123888284#;LOCATION#-1#;	1113183	4606654	1078830972
1078832889	12	LSA;NODEIDS#1662768931#;LOCATION#-1#;	1112287	4607569	1078832889
1078831033	12	LSA;NODEIDS#1662768931#;LOCATION#-1#;	1112287	4607569	1078831033
497884797	12	LSA;NODEIDS#2241609375#;LOCATION#-1#;	1113046	4607735	497884797
-214754042	12	LSA;NODEIDS#2241609375#;LOCATION#-1#;	1113046	4607735	-214754042
1078832443	12	LSA;NODEIDS#2241609375#;LOCATION#-1#;	1113046	4607735	1078832443
1078831576	12	LSA;NODEIDS#247796040#;LOCATION#-1#;	1112154	4607028	1078831576
1078831575	12	LSA;NODEIDS#247796040#;LOCATION#-1#;	1112154	4607028	1078831575
1078827865	12	LSA;NODEIDS#248797640#;LOCATION#-1#;	1111949	4606448	1078827865
1078831234	12	LSA;NODEIDS#248797640#;LOCATION#-1#;	1111949	4606448	1078831234
1078827855	12	LSA;NODEIDS#248815336#;LOCATION#-1#;	1111903	4606665	1078827855
1078827641	12	LSA;NODEIDS#248815336#;LOCATION#-1#;	1111903	4606665	1078827641
1078830237	12	LSA;NODEIDS#248815336#;LOCATION#-1#;	1111903	4606665	1078830237
1078827896	12	LSA;NODEIDS#256419012#;LOCATION#-1#;	1112823	4607593	1078827896
1078834104	12	LSA;NODEIDS#256419012#;LOCATION#-1#;	1112823	4607593	1078834104
1078828055	12	LSA;NODEIDS#256419012#;LOCATION#-1#;	1112823	4607593	1078828055
1078832447	12	LSA;NODEIDS#256419012#;LOCATION#-1#;	1112823	4607593	1078832447
1078830967	12	LSA;NODEIDS#257470155#;LOCATION#-1#;	1112557	4606556	1078830967
